Herstellercode=052;
Geraete ID=02080;
Klassifizierungscode=9;
Rn=01;
Rf=01;
Beginn=15.02.2016 13:32:06;
Ende=16.02.2016 23:59:32;
Hardwareversion=0.0.2016;
Exportbeginn=16.02.2016 00:00:00;
Exportende=16.02.2016 23:59:59;
Exportformat=Fahrzeugeinzeldaten V1.0;

Messung Nr.=121;
Mess Beginn=15.02.2016 13:32:06;
Mess Ende=16.02.2016 23:59:32;
GPS long=8,795198;
GPS lat=51,772411;
GPS Uhrzeit=16.02.2016 20:00:00;
GPS Qualitaet=1;
GPS Satelliten=10;
GPS HDOP=0,9;
Softwareversion=1.92.26.11.2015;


Verkehrsdaten:
Datum	Uhrzeit	V	L	Zeit	FS	Code	Schall	AZ	Sta;
16.02.2016	05:54:54	64	45	65535	1	7	0	2	0;
16.02.2016	05:55:00	78	45	65535	1	7	0	2	0;
16.02.2016	05:55:21	63	194	65535	2	8	0	4	0;
16.02.2016	05:55:23	63	47	65535	2	7	0	2	0;
16.02.2016	05:55:54	55	157	65535	1	8	0	3	0;
16.02.2016	05:56:27	74	44	65535	2	7	0	2	0;
16.02.2016	05:56:31	77	52	65535	2	7	0	2	0;
16.02.2016	05:56:36	70	44	65535	1	7	0	2	0;
16.02.2016	05:56:53	79	44	65535	2	7	0	2	0;
16.02.2016	05:57:30	63	186	65535	1	5	0	3	0;
16.02.2016	05:57:32	61	41	65535	1	7	0	2	0;
16.02.2016	05:57:33	64	47	65535	1	7	0	2	0;
16.02.2016	05:58:09	82	52	65535	2	11	0	2	0;
16.02.2016	05:58:19	88	46	65535	1	7	0	2	0;
16.02.2016	05:58:58	70	44	65535	1	7	0	2	0;
16.02.2016	05:59:01	68	47	65535	1	7	0	2	0;
16.02.2016	06:00:03	116	44	65535	2	7	0	2	0;
16.02.2016	06:00:27	69	84	65535	1	3	0	2	0;
16.02.2016	06:00:33	80	46	65535	1	7	0	2	0;
16.02.2016	06:00:45	105	45	65535	1	7	0	2	0;
16.02.2016	06:01:49	83	53	65535	2	11	0	2	0;
16.02.2016	06:01:50	86	50	65535	2	7	0	2	0;
16.02.2016	06:02:39	69	41	65535	1	7	0	2	0;
16.02.2016	06:02:54	78	41	65535	1	7	0	2	0;
16.02.2016	06:02:59	73	45	65535	1	7	0	2	0;
16.02.2016	06:03:23	70	47	65535	2	7	0	2	0;
16.02.2016	06:05:10	56	44	65535	1	7	0	2	0;
16.02.2016	06:05:20	76	45	65535	1	7	0	2	0;
16.02.2016	06:05:42	95	44	65535	1	7	0	2	0;
16.02.2016	06:05:52	85	46	65535	1	7	0	2	0;
16.02.2016	06:05:58	72	42	65535	2	7	0	2	0;
16.02.2016	06:06:01	77	55	65535	2	11	0	2	0;
16.02.2016	06:06:33	71	56	65535	2	11	0	2	0;
16.02.2016	06:06:45	78	45	65535	2	7	0	2	0;
16.02.2016	06:07:09	74	45	65535	1	7	0	2	0;
